"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"4.7u";;;
2;"C5,C1,C3,C6,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"100n";;;
3;"U3";"Current_sens_SOIC127P600X175-8N";1;"Current_sens_ACS712ELCTR-20A-T";;;
4;"U4";"AZ1117CH_3_3TRG1-L";1;"AZ1117CH-3.3TRG1";;;
5;"DZ1";"D_SOD-123";1;"SZMMSZ4679T1G";;;
6;"R17,R8,R13,R6,R11,R14,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";7;"10k";;;
7;"C9,C8";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"2.2u";;;
8;"R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1K";;;
9;"C17";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1n";;;
10;"R12,R18,R16";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"30k";;;
11;"J10";"AMASS_XT60PW-M";1;"XT60PW-M";;;
12;"C16";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1u";;;
13;"Q3";"TO-252-2";1;"IKD15N60R";;;
14;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32F429VITx";;;
15;"D1,D2";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"599-0410-127F";;;
16;"C12";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
17;"R15,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"40";;;
18;"GND2,SCL1,TX1,SDA1,GND1,RX1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";6;"TestPoint";;;
19;"U6,U5";"SOIC127P599X175-8N";2;"LMC6482AIMX/NOPB";;;
20;"Q4";"SOT-23";1;"NPN-DSS20201L-7";;;
21;"R2,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10K";;;
22;"J8";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60PW-M";;;
23;"J11,J12";"MTA_100_2pos";2;"Conn_01x02_Pin";;;
24;"R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k";;;
25;"J3,J4,J6,J5,J7";"PinHeader_1x03_P2.54mm_Horizontal";5;"Conn_01x03_Socket";;;
26;"C10,C20,C4";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"1u";;;
27;"C21";"R_0805_2012Metric";1;"22u";;;
28;"C13";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
29;"PWR_R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"100k";;;
30;"C18";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10u";;;
31;"R7,R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1k5";;;
32;"J2";"PinHeader_1x06_P2.54mm_Horizontal";1;"Conn_01x06_Socket";;;
33;"Q2";"SOT-23-3";1;"DSS20200L-7-PNP";;;
34;"Y1";"XTAL_ABS07-32.768KHZ-T";1;"ABS07-32.768KHZ-T";;;
35;"C11";"CAP_MU_15750_RUB-L";1;"10u";;;
36;"R9";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"20k";;;
37;"Q5";"SOT-23-3";1;"NTR4101PT1G";;;
38;"U2";"BNO055_LGA28R50P4X10_380X520X100";1;"BNO055";;;
39;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Socket";;;
40;"J9";"AMASS_XT60PW-F";1;"XT60PW-F";;;
41;"C15,C14";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22pF";;;
42;"C19";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22u";;;
43;"R19";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"40k";;;
