Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",3.600000,15.550000,90.000000,top
"C2","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",18.600000,-7.300000,0.000000,top
"C3","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",24.800000,-2.500000,-90.000000,top
"C4","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",18.600000,-11.000000,0.000000,top
"C5","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",2.250000,-7.337500,90.000000,top
"C6","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",9.500000,-7.200000,0.000000,top
"C7","4.7u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-1.600000,-7.362500,90.000000,top
"C8","2.2u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",7.050000,15.550000,-90.000000,top
"C9","2.2u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",24.800000,9.862500,90.000000,top
"C10","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",14.100000,-8.600000,90.000000,top
"C11","10u","CAP_MU_15750_RUB-L",-9.500000,44.750000,180.000000,top
"C12","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-6.800000,3.200000,90.000000,top
"C13","1uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-6.800000,-3.100000,-90.000000,top
"C14","22pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-2.700000,10.100000,90.000000,top
"C15","22pF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",1.100000,10.100000,-90.000000,top
"C16","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-39.200000,1.100000,0.000000,top
"C17","1n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-39.200000,-2.700000,0.000000,top
"C18","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-14.800000,-3.137500,90.000000,top
"C19","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-6.800000,-11.100000,90.000000,top
"C20","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-7.400000,22.900000,0.000000,top
"C21","22u","R_0805_2012Metric",0.300000,52.350000,180.000000,top
"D1","599-0410-127F","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",6.350000,-18.627500,-90.000000,top
"D2","599-0410-127F","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-5.600000,-18.700000,-90.000000,top
"DZ1","SZMMSZ4679T1G","D_SOD-123",-29.250000,9.150000,0.000000,top
"PWR_R1","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-21.900000,6.100000,0.000000,top
"Q2","DSS20200L-7-PNP","SOT-23-3",-32.900000,-6.800000,-90.000000,top
"Q3","IKD15N60R","TO-252-2",-45.140000,-9.527500,180.000000,top
"Q4","NPN-DSS20201L-7","SOT-23",-26.500000,-6.600000,90.000000,top
"Q5","NTR4101PT1G","SOT-23-3",-29.350000,4.950000,-90.000000,top
"R1","40","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",10.800000,-18.550000,-90.000000,top
"R2","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-10.700000,-3.100000,90.000000,top
"R3","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-10.800000,3.200000,-90.000000,top
"R4","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",8.100000,19.700000,0.000000,top
"R5","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",13.000000,15.300000,0.000000,top
"R6","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-32.900000,-2.200000,0.000000,top
"R7","1k5","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-28.400000,-1.600000,90.000000,top
"R8","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",24.800000,3.650000,90.000000,top
"R9","20k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",30.000000,5.200000,0.000000,top
"R10","1k5","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-26.500000,-12.000000,0.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-32.900000,-12.000000,0.000000,top
"R12","30k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-6.375000,35.500000,90.000000,top
"R13","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",6.725000,44.895000,-90.000000,top
"R14","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-10.275000,35.595000,-90.000000,top
"R15","40","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-9.500000,-18.700000,-90.000000,top
"R16","30k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",0.255000,39.000000,180.000000,top
"R17","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-0.100000,27.800000,180.000000,top
"R18","30k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-8.545000,29.900000,0.000000,top
"R19","40k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-13.100000,11.300000,0.000000,top
"R20","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-7.400000,17.800000,0.000000,top
"U1","STM32F429VITx","LQFP-100_14x14mm_P0.5mm",13.475000,4.075000,90.000000,top
"U2","BNO055","BNO055_LGA28R50P4X10_380X520X100",0.000000,0.000000,0.000000,top
"U3","Current_sens_ACS712ELCTR-20A-T","Current_sens_SOIC127P600X175-8N",-46.475000,-0.600000,0.000000,top
"U4","AZ1117CH-3.3TRG1","AZ1117CH_3_3TRG1-L",-13.400000,-11.325800,180.000000,top
"U5","LMC6482AIMX/NOPB","SOIC127P599X175-8N",0.185000,44.835000,0.000000,top
"U6","LMC6482AIMX/NOPB","SOIC127P599X175-8N",0.255000,33.000000,0.000000,top
"Y1","ABS07-32.768KHZ-T","XTAL_ABS07-32.768KHZ-T",-0.800000,5.600000,180.000000,top
